"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"63",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2012,861
"64",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2013,235
"65",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2014,1213
"66",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2015,85
"67",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2016,463
"68",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2017,74
"69",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2018,97
"70",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2019,255
"71",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2020,311
"72",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1950,NA
"73",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1951,500
"74",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1952,400
"75",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1953,400
"76",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1954,400
"77",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1955,400
"78",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1956,400
"79",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1957,400
"80",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1958,750
"81",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1959,3500
"82",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1960,400
"83",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1961,400
"84",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1962,1500
"85",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1963,1500
"86",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1964,7500
"87",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1965,3500
"88",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1966,3500
"89",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1967,4000
"90",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1968,4500
