,Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level,Egg Target,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type,Target # to Mark,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
606,2015,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,3000000,Release,Unfed,Atchelitz Cr,,29D,200000,,,,,,,
607,2014,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,3000000,Release,Unfed,Atchelitz Cr,,29D,200000,,,,,,,
608,2020,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,135000,,,,,,,
609,2021,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,0,Release,Fed Fry,Brunette R,Bell-Irving Kanaka Cr H,29C,135000,,,,,,,Preliminary
610,2019,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,"150,000",,,,,,,
611,2018,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,150000,,,,,,,
612,2017,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,150000,,,,,,,
613,2016,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,150000,,,,,,,
614,2015,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,150000,,,,,,,
615,2014,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Brunette R,,29C,150000,,,,,,"2014: target increased from 50K to 150K, in light of the discontinuation of Alouette chum being released into the Brunette.",
616,2020,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,40000,,,,,,,
617,2021,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,0,Release,Fed Fry,Byrne Cr,Bell-Irving Kanaka Cr H,29C,40000,,,,,,,Preliminary
618,2019,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,"45,000",,,,,,,
619,2018,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,45000,,,,,,,
620,2017,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,45000,,,,,,,
621,2016,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,45000,,,,,,2015: increase in release target from 25K to 45K.,
622,2015,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,45000,,,,,,2015: increase in release target from 25K to 45K.,
623,2014,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Byrne Cr,,29C,25000,,,,,,2014: release target increased from 25K to 50K to increase visibility for community stewardship.,
624,2017,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Canyon Cr/GSMN,,29E,30000,,,,,,Addition of release site in 2015. Direct release occurs under the direction of the Burrard Inlet/Indian Arm/Vancouver Community Advisor.,
625,2016,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Canyon Cr/GSMN,,29E,30000,,,,,,2015: Addition of release site. Direct release occurs under the direction of the Burrard Inlet/Indian Arm/Vancouver Community Advisor.,
626,2015,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Canyon Cr/LWFR,,29E,30000,,,,,,2015: Addition of release site. Direct release occurs under the direction of the Burrard Inlet/Indian Arm/Vancouver Community Advisor.,
627,2020,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,"40,000",Release,Fed Fry,Capilano R,,28,30000,,,,,,2017: adjusted release target from 90K to 30K to align with actual production.,
628,2021,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,70000,Release,Fed Fry,Capilano R,Capilano River H,28,70000,,,,,,,Preliminary
629,2019,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,"40,000",Release,Fed Fry,Capilano R,,28,"30,000",,,,,,2017: adjusted release target from 90K to 30K to align with actual production.,
630,2018,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,40000,Release,Fed Fry,Capilano R,,28,30000,,,,,,2017: adjusted release target from 90K to 30K to align with actual production.,
631,2017,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,40000,Release,Fed Fry,Capilano R,,28,30000,,,,,,2017: adjusted release target from 90K to 30K to align with actual production.,
632,2016,Lower Fraser River,OPS,Capilano R,WEM - Capilano River Hatchery,Chum,Fall,Capilano R,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,100000,Release,Fed Fry,Capilano R,,28,90000,,,,,,2015: objective changed from harvest to rebuilding after re-evaluating objectives during Assessment Planning meeting.,
633,2020,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Cheakamus R,,28,400000,,,,,,2017: addition of this third system for chum enhancement occurred in 2017. Actual release sites are the man-made channels (e.g. outdoor school) - Evans Creek.,
634,2021,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,0,Release,Fed Fry,Cheakamus R,Tenderfoot Creek H,28,400000,,,,,,,Preliminary
635,2019,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Cheakamus R,,28,"400,000",,,,,,2017: addition of a third system for chum enhancement. Actual release sites are the man-made channels (e.g. outdoor school) - Evans Creek,
636,2018,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Cheakamus R,,28,400000,,,,,,2017: addition of a third system for chum enhancement. Actual release sites are the man-made channels (e.g. outdoor school) - Evans Creek,
637,2017,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Cheakamus R,,28,400000,,,,,,2017: addition of a third system for chum enhancement. Actual release sites are the man-made channels (e.g. outdoor school),
638,2017,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,Chilliwack R,,29E,1000000,,,,,,,
639,2016,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,Chilliwack R,,29E,1000000,,,,,,,
640,2015,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,Chilliwack R,,29E,1000000,,,,,,,
641,2014,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,Chilliwack R,,29E,1000000,,,,,,,
642,2017,Lower Fraser River,OPS,Inch Cr,WEM - Inch Creek Hatchery,Chum,Fall,Inch Cr,CM-2,LOWER FRASER,29D,Rebuilding,Primary,2000000,Release,Fed Fry,Chilqua Cr,,29D,-,,,,,,2017: Cease production into Chilqua Cr as per rebuilding objective.,
643,2016,Lower Fraser River,OPS,Inch Cr,WEM - Inch Creek Hatchery,Chum,Fall,Inch Cr,CM-2,LOWER FRASER,29D,Rebuilding,Primary,2000000,Release,Fed Fry,Chilqua Cr,,29D,250000,,,,,,2016: Continue enhancing this creek for another year and assess the rebuilding objective via monitoring. Adults from Inch will continue to be moved into Chilqua for assessment and rebuilding purposes.,
644,2015,Lower Fraser River,OPS,Inch Cr,WEM - Inch Creek Hatchery,Chum,Fall,Inch Cr,CM-2,LOWER FRASER,29D,Rebuilding,Primary,2000000,Release,Fed Fry,Chilqua Cr,,29D,250000,,,,,,2015: target reduced from 750K. A review of this 2011 brood transplant initiative determined a lack of response that may be due to habitat quality challenges. Continue observations.,
645,2020,Lower Fraser River,OPS,Inch Cr,WEM - Inch Creek Hatchery,Chum,Fall,Inch Cr,CM-2,LOWER FRASER,29D,Rebuilding,Primary,-,Release,Fed Fry,Deroche Ch,,29D,50000,,,,,,,
646,2021,Lower Fraser River,OPS,Inch Cr,WEM - Inch Creek Hatchery,Chum,Fall,Inch Cr,CM-2,LOWER FRASER,29D,Rebuilding,Primary,0,Release,Fed Fry,Deroche Ch,Inch Creek H,29D,50000,,,,,,,Planning
647,2019,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,-,,,,,,2018:  reduced to 0 after full cycle of enhancement,
648,2018,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,-,,,,,,2018:  reduced to 0 after full cycle of enhancement,
649,2017,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,100000,,,,,,2017: release target adjusted from 200K to 100K.,
650,2016,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,200000,,,,,,2016: increase in release target from 100K to 200K.,
651,2015,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,100000,,,,,,"Implemented in 2014, ongoing for 2015: due to the high escapement to Tenderfoot Lk it was decided to seed Dryden Cr and Hop Ranch Cr.  Chum were likely present at both locations prior to dyking the Squamish.",
652,2014,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Dryden Cr,,28,100000,,,,,,"Due to the high escapement to Tenderfoot Lake it was decided to seed Dryden and Hop Ranch Creek with 100,000 fry each.  Chum were likely present at both locations prior to dyking the Squamish.",
653,2016,Lower Fraser River,OPS,Chehalis R,WEM - Chehalis River Hatchery,Chum,Fall,Harrison Sl,CM-2,LOWER FRASER,29D,Rebuilding,Primary,600000,Release,Fed Fry,Harrison Sl,,29D,500000,,,,,,2012: New release strategy added to target late run chum for rebuilding in the Harrison Slough complex. Late run Chehalis chum is the alternate brood source.,
654,2015,Lower Fraser River,OPS,Chehalis R,WEM - Chehalis River Hatchery,Chum,Fall,Harrison Sl,CM-2,LOWER FRASER,29D,Rebuilding,Primary,600000,Release,Fed Fry,Harrison Sl,,29D,500000,,,,,,,
655,2014,Lower Fraser River,OPS,Chehalis R,WEM - Chehalis River Hatchery,Chum,Fall,Harrison Sl,CM-2,LOWER FRASER,29D,Rebuilding,Primary,600000,Release,Fed Fry,Harrison Sl,,29D,500000,,,,,,"If broodstock from Harrison Slough cannot be obtained, late returning chum from the Chehalis River can be used as an alternate source.",
656,2019,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,-,,,,,,2018: removed from plan because of limited spawning area in creek,
657,2018,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,-,,,,,,2018: removed from plan because of limited spawning area in creek,
658,2017,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,100000,,,,,,"2017: maintained at 100K due to small size of creek, and limited spawning area.",
659,2016,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,100000,,,,,,"Implemented in 2014, ongoing for 2015 and 2016: due to the high escapement to Tenderfoot Lake it was decided to seed Dryden and Hop Ranch Creek. Chum were likely present at both locations prior to dyking the Squamish.",
660,2015,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,100000,,,,,,"Implemented in 2014, ongoing for 2015: due to the high escapement to Tenderfoot Lake it was decided to seed Dryden and Hop Ranch Creek.  Chum were likely present at both locations prior to dyking the Squamish.",
661,2014,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Hop Ranch Cr,,28,100000,,,,,,,
662,2020,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Horse Cr,,28,100000,,,,,,2018: New site added instead of Hop Ranch,
663,2021,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,0,Release,Fed Fry,Horse Cr,Tenderfoot Creek H,28,100000,,,,,,,Preliminary
664,2019,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Horse Cr,,28,"100,000",,,,,,2018: New site added instead of Hop Ranch,
665,2018,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Horse Cr,,28,100000,,,,,,2018: New site added instead of Hop Ranch,
666,2017,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Judd Sl,,28,-,,,,,,"2017: enhancement to cease, with a redirection of focus to assessment in order to measure the success of the rebuilding enhancement objective.",
667,2016,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Judd Sl,,28,100000,,,,,,2016: reduction of release target from 500K to 100K; will be focusing on assessment.,
668,2015,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Judd Sl,,28,500000,,,,,,,
669,2014,Lower Fraser River,OPS,Tenderfoot Cr,WEM - Tenderfoot Creek Hatchery,Chum,Fall,Tenderfoot Cr,CM-3,HOWE SOUND-BURRARD INLET,28,Rebuilding,Primary,-,Release,Fed Fry,Judd Sl,,28,500000,,,,,,,
670,2020,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,70000,,,,,,"2020: Kanaka chum releases adjusted to ensure enough fry are being released back into Kanaka to make up for the amount of spawner removals from the stream. Kanaka Cr fry release will be prioritized above all other sites in order to replace foregone natural production due to broodstock removals. Once Kanaka release target has been met, surplus fry can be partitioned accordingly (Brunette R, Byrne Cr, Kaymar Cr, Spanish Banks Cr)",
671,2021,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,0,Release,Fed Fry,Kanaka Cr,Bell-Irving Kanaka Cr H,29C,70000,,,,,,"2020: Kanaka chum releases adjusted to ensure enough fry are being released back into Kanaka to make up for the amount of spawner removals from the stream. Kanaka Cr fry release will be prioritized above all other sites in order to replace foregone natural production due to broodstock removals. Once Kanaka release target has been met, surplus fry can be partitioned accordingly (Brunette R, Byrne Cr, Kaymar Cr, Spanish Banks Cr)",Preliminary
672,2019,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,"25,000",,,,,,,
673,2018,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,25000,,,,,,,
674,2017,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,25000,,,,,,Supplementation to Fraser River chum fishery.,
675,2016,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,25000,,,,,,Supplementation to Fraser River chum fishery.,
676,2015,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,25000,,,,,,Supplementation to Fraser River chum fishery.,
677,2014,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kanaka Cr,,29C,25000,,,,,,,
678,2020,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
679,2021,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,0,Release,Fed Fry,Kaymar Cr,Bell-Irving Kanaka Cr H,29C,5000,,,,,,,Preliminary
680,2019,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,"5,000",,,,,,,
681,2018,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
682,2017,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
683,2016,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
684,2015,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
685,2014,Lower Fraser River,DPI,Kanaka Cr,"CA - N Side Fraser R, Burnaby to Mission",Chum,Fall,Kanaka Cr,CM-2,LOWER FRASER,29C,Rebuilding,Primary,-,Release,Fed Fry,Kaymar Cr,,29C,5000,,,,,,,
686,2018,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,L Chilliwack R,,29E,100000,,,,,,"2018: Release stage changed from unfed to fed fry, and the release target adjusted from 200K to 100K.",
687,2020,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,200000,,,,,,,
688,2021,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,0,Release,Unfed,L Chilliwack R,Chilliwack River H,29E,200000,,,,,,,Preliminary
689,2019,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,"200,000",,,,,,"2018: Release stage changed from unfed to fed fry, and the release target adjusted from 200K to 100K (Oct2018-targets reverted back to original 2017BY targets).",
690,2017,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,200000,,,,,,,
691,2016,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,200000,,,,,,,
692,2015,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,200000,,,,,,,
693,2014,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,L Chilliwack R,,29E,200000,,,,,,,
694,2018,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Fed Fry,Luckakuck Cr,,29E,100000,,,,,,"2018: Release stage changed from unfed to fed fry, and the release target adjusted from 200K to 100K.",
695,2020,Lower Fraser River,OPS,Chilliwack R,WEM - Chilliwack River Hatchery,Chum,Fall,Chilliwack R,CM-2,LOWER FRASER,29E,Rebuilding,Primary,-,Release,Unfed,Luckakuck Cr,,29E,200000,,,,,,,
