,Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level,Egg Target,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type,Target # to Mark,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
64,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,100000,Release,Fed Fry,Spius Cr,,29F,30000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
65,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,65000,Release,Smolt 1+,Spius Cr,Spius Creek H,29F,55000,,,,,,"2021: 	Release strategy changed back to yearling smolt release from fed fry release.",Planning
66,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Spius Cr,,29F,55000,Thermal,N/A,55000,,,"2016: Discussion planned with local FN to discuss the proposal that either Spius or Coldwater Chinook have a portion (2/3) of their releases be fed fry.  Purpose would be to free up CN smolt space for StAD indicator target (Nicola CN). Also, veteranarian guidance limits # of CN smolts in LCR to 55K thus lowering target (from 65K to 55K).",
67,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Spius Cr,,29F,65000,Thermal,N/A,65000,,,,
68,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Spius Cr,,29F,65000,Thermal,N/A,65000,,,In 2014 Spius Creek Chinook will be thermally otolith marked to assess enhanced contribution to spawning escapement.,
69,2020,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,"40,000",Release,Fed Fall,Bulkley R Up,,4,35000,Parentage-based Tagging,N/A,"35,000",,,2018: Returning to the smolt 1+ strategy based on Lana Miller's recommendation. Increasing egg target to 40K to allow flexibility in a good return year.,
70,2019,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,"40,000",Release,Fed Fall,Bulkley R Up,,4,"35,000",,,,,,2018: Returning to the smolt 1+ strategy based on Lana Miller's recommendation. Increasing egg target to 40K to allow flexibility in a good return year.,
71,2018,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,40000,Release,Fed Fall,Bulkley R Up,,4,35000,,,,,,2018: Returning to the smolt 1+ strategy based on Lana Miller's recommendation. Increasing egg target to 40K to allow flexibility in a good return year.,
72,2017,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,20000,Release,Fed Fall,Bulkley R Up,,4,15000,,,,,,2017: Changed from yearling release strategy to fall release because of BKD concerns. Reduction from 60k eggs to 20k eggs.,
73,2016,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,60000,Release,Smolt 1+,Bulkley R Up,,4,43000,Coded Wire Tag,AD,35000,,,"2016 - Egg inventory typically 20K (with 15K CWT).  IN 2015, took 50K eggs and had a release of 35K CWTs.",
74,2016,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,-,Release,Smolt 1+,Bulkley R Up,,4,-,Parentage-based Tagging,N/A,43000,,,,
75,2015,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,60000,Release,Smolt 1+,Bulkley R Up,,4,43000,Coded Wire Tag,AD,35000,,,,
76,2014,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4,Rebuilding,Primary,60000,Release,Smolt 1+,Bulkley R Up,,4,43000,Coded Wire Tag,AD,35000,,,AdCWT.,
