Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type, Target # to Mark ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment ,Primary,"90,000",Release,Fed Fry,Eagle R,,29K,20000,Parentage-based Tagging,N/A,"20,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment ,Primary, -   ,Release,Smolt 1+,Eagle R,,29K,65000,Coded Wire Tag,AD,"65,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment ,Primary, -   ,Release,Smolt 1+,Eagle R,,29K,0,Parentage-based Tagging,N/A,"65,000",,,,
2020,BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F, Harvest ,Primary,"27,000,000",Release,Chan Fry,Gates Cr,,29F,13500000,,,,,,Production target is based on adult channel loading capacity and 50% egg to fry survival. Actual production likely to vary.,
2020,BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-06-10,QUESNEL-SUMMER TIMING,29G, Harvest ,Primary,"45,000,000",Release,Chan Fry,Horsefly Ch,,29G,22500000,,,,,,Target based on fully loaded channel.,
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K, Stewardship ,Primary, -   ,Release,Fed Fry,Shuswap R Low,,29K,50000,,,,,,,
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,"60,000",Transfer Out,Egg,N Okanagan-Shuswap Sch,,,700,,,,,,Schools release directly into Lower Shuswap as fed fry.,
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Revelstoke Sch,,,300,,,,,,Schools release directly into Lower Shuswap as fed fry.,
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Vernon Sch,,,950,,,,,,Schools release directly into Lower Shuswap as fed fry.,
2020,BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,29I, Harvest ,Primary,"45,000,000",Release,Chan Fry,Nadina R,,29I,22500000,,,,,,Target based on fully loaded channel.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Nahatlatch R,CK-8,MIDDLE FRASER-FRASER CANYON_SP_1.3,29F, Conservation ,Primary,"60,000",Release,Fed Fry,Nahatlatch R,,29F,50000,Parentage-based Tagging,N/A,"50,000",,,2019: Nahatlatch identifed as a stock of concern for which enhancement can serve as genetic preservation and possible stock rebuilding tool until limiting factors are identified and addessed through strategic rebuilding plans.  Field operation funding still needs to be identified.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,"200,000",,,"Production is set to increase to 300k, but is contingent on available rearing space as it relates to Big Bar considerations.",
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Nicola R,,29F,0,Parentage-based Tagging,N/A,"200,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary,"260,000",Release,Fed Fry,Spahomin Cr,,29F,50000,Parentage-based Tagging,N/A,"50,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Pr George (Mackenzie) Sch,,,45,,,,,,,
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Egg,Quesnel R Research Centre,,,50,,,,,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Salmon R/TOMF,CO-8,SOUTH THOMPSON,29K, Conservation ,Primary,"35,000",Release,Fed Fry,Salmon R/TOMF,,29K,5000,Parentage-based Tagging,N/A,"5,000",,,2020: Fry are a contingency release to allow for release of healthy fry after BKD screening.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Salmon R/TOMF,CO-8,SOUTH THOMPSON,29K, Conservation ,Primary, -   ,Release,Smolt 1+,Salmon R/TOMF,,29K,25000,Coded Wire Tag,AD,"25,000",,,"2017: change the brood release strategy for Salmon River coho from 55,000 yearling smolts to 25,000 yearling smolts.",
