Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level,Egg Target,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type,Target # to Mark,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
BC North Coast,PIP,Coast Mtn (Terrace) Sch,CA - Northern Interior & N Coast,Coho,Fall,Lakelse R,CO-32,LOWER SKEENA,04,Education,Primary,2400,Release,Fed Fry,Lakelse R,Terrace Schools,04,2000,,,,,,2021: Broodstock collection done directly by school program and overseen by CA.,Preliminary
BC North Coast,PIP,Coast Mtn (Terrace) Sch,CA - Northern Interior & N Coast,Coho,Fall,Rainy Cr,CO-37,PORTLAND SOUND-OBSERVATORY INLET-PORTLAND CANAL,03,Education,Primary,300,Release,Fed Fry,Rainy Cr,Terrace Schools,03,250,,,,,,2021: production line moved from Stewart Sch Project to Terrace Sch Project to reflect current enhancement strategy as indicated by area CA. Broodstock collection done directly by school program and overseen by CA.,Preliminary
BC North Coast,PIP,Coast Mtn (Terrace) Sch,CA - Northern Interior & N Coast,Coho,Fall,Zymacord R,CO-32,LOWER SKEENA,04,Education,Primary,300,Release,Fed Fry,Zymacord R,Terrace Schools,04,250,,,,,,2021: Broodstock collection done directly by school program and overseen by CA.,Preliminary
BC North Coast,PIP,Coast Mtn (Terrace) Sch,CA - Northern Interior & N Coast,Coho,Summer,Kitwanga R,CO-33,MIDDLE SKEENA,04,Education,Primary,300,Release,Fed Fry,Kitwanga R,Terrace Schools,04,280,,,,,,2021: production line moved from Kitwanga Sch Project to Terrace Sch Project to reflect current enhancement strategy as indicated by area CA. Broodstock collection done directly by school program and overseen by CA.,Preliminary
BC North Coast,PIP,Coast Mtn (Terrace) Sch,CA - Northern Interior & N Coast,Coho,Summer,Mission Cr/SKNA,CO-33,MIDDLE SKEENA,04,Education,Alternate,300,Release,Fed Fry,Kitwanga R,Terrace Schools,04,280,,,,,,2021: New alternate production line.,Preliminary
BC North Coast,PIP,Eby Street,CA - Northern Interior & N Coast,Coho,Fall,Spring Cr/SKNA,CO-32,LOWER SKEENA,04,Stewardship,Alternate,40000,Release,Unfed,Spring Cr/SKNA,Spring Creek/ SKNA H,04,25000,,,,,,,Preliminary
BC North Coast,PIP,Eby Street,CA - Northern Interior & N Coast,Coho,Fall,Zymacord R,CO-32,LOWER SKEENA,04,Stewardship,Primary,0,Release,Smolt 1+,Zymacord R,Spring Creek/ SKNA H,04,25000,Coded Wire Tag,AD,25000,,,,Preliminary
BC North Coast,PIP,Eby Street,CA - Northern Interior & N Coast,Coho,Fall,Zymacord R,CO-32,LOWER SKEENA,04,Stewardship,Primary,40000,Release,Smolt 1+,Zymacord R,Spring Creek/ SKNA H,04,0,Parentage-based Tagging,N/A,25000,,,,Preliminary
BC North Coast,CDP,Old Massett,CA - Haida Gwaii,Chinook,Summer,Yakoun R,CK-43,HAIDA GWAII-NORTH,01,Rebuilding,Primary,250000,Release,Smolt 0+,Yakoun R,Yakoun River H,01,225000,Parentage-based Tagging,N/A,225000,,,,Preliminary
BC South Coast,CDP,Clayoquot,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chinook,Fall,Kennedy R Low,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,24,Rebuilding,Primary,525000,Release,Smolt 0+,Kennedy R Low,Kennedy River H,24,380000,,,,,,,Planning
BC South Coast,CDP,Clayoquot,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chinook,Fall,Kennedy R Low,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,24,Rebuilding,Primary,0,Release,Smolt 0+,Kennedy R Up,Kennedy River H,24,100000,,,,,,,Planning
BC South Coast,CDP,San Juan R,"CA - Lower Van Is, Cowichan R & southern Gulf Islands",Chinook,Fall,San Juan R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,20,Rebuilding,Primary,0,Release,Smolt 0+,San Juan R,San Juan River H,20,500000,Parentage-based Tagging,N/A,500000,,,,Planning
BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton Ch #1,SEL-21-02,BABINE,04,Harvest,Primary,18500000,Release,Chan Fry,Fulton Ch #1,Fulton River,04,3700000,,,,,,Release target based on fully loaded channel.  In-season run-size estimates and fishery management decisions may affect target loading numbers.,Preliminary
BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton Ch #2,SEL-21-02,BABINE,04,Harvest,Primary,145000000,Release,Chan Fry,Fulton Ch #2,Fulton River,04,72500000,,,,,,Release target based on fully loaded channel.  In-season run-size estimates and fishery management decisions may affect target loading numbers.,Preliminary
BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton R,SEL-21-02,BABINE,04,Harvest,Primary,250000000,Release,Nat Emerg,Fulton R,Fulton River,04,37500000,,,,,,Target is for habitat above counting fence.,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Haans Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,,Primary,0,Transfer In,Egg,Alliford Bay,Aliford Bay H,,200,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Haans Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Education,Primary,0,Release,Fed Fry,Agnes Cr,Haida Gwaii Schools,02E,180,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Haans Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Education,Alternate,0,Release,Fed Fry,Haans Cr,Haida Gwaii Schools,02E,180,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,,Primary,0,Transfer In,Egg,Northern Trollers,Northern Trollers Ass H,,700,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Education,Primary,0,Release,Fed Fry,Balance Rock Cr,Haida Gwaii Schools,02E,450,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Education,Primary,0,Release,Fed Fry,Honna R,Haida Gwaii Schools,02E,180,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,,Primary,0,Transfer In,Egg,Salmon Unltd Soc,Loon Creek/ QCI H,,400,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,Education,Primary,0,Release,Fed Fry,Deep Cr/QCI,Haida Gwaii Schools,02E,180,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,Education,Primary,0,Release,Fed Fry,Wylie Cr,Haida Gwaii Schools,02E,180,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,01,,Primary,0,Transfer In,Egg,Old Massett,Yakoun River H,,100,,,,,,,Preliminary
BC North Coast,PIP,Haida Gwaii Sch,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,01,Education,Primary,0,Release,Fed Fry,Rennie Cr,Haida Gwaii Schools,02E,90,,,,,,,Preliminary
BC South Coast,CDP,San Juan R,"CA - Lower Van Is, Cowichan R & southern Gulf Islands",Chinook,Fall,San Juan R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,20,Rebuilding,Primary,510000,Release,Smolt 0+,San Juan R,San Juan River H,20,0,Thermal,N/A,500000,,,,Planning
BC South Coast,CDP,Thornton Cr,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chinook,Fall,Toquart R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,23,Rebuilding,Primary,230000,Release,Fed Fry,Toquart Lk,Thornton Creek H,23,210000,Parentage-based Tagging,N/A,210000,,,,Planning
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,06,Harvest,Primary,0,Release,Smolt 1+,Hartley Bay Cr,Hartley Bay Creek H,06,30000,,,,,,,Preliminary
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,06,Harvest,Primary,400000,Release,Fed Fry,Hartley Bay Lk,Hartley Bay Creek H,06,100000,,,,,,Released into hanging lake - no anadromous fish access,Preliminary
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,06,Harvest,Primary,0,Release,Fed Fry,Red Bluff Lk,Hartley Bay Creek H,06,60000,,,,,,Released into hanging lake - no anadromous fish access,Preliminary
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,06,Harvest,Primary,0,Release,Fed Fry,Union Pass Lk,Hartley Bay Creek H,06,70000,,,,,,Released into hanging lake - no anadromous fish access.,Preliminary
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,06,Harvest,Primary,0,Release,Fed Fry,Whalen Lk,Hartley Bay Creek H,06,80000,,,,,,Released into hanging lake - no anadromous fish access,Preliminary
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Chum,Fall,McLoughlin Bay Cr,CM-15,SPILLER-FITZ HUGH-BURKE,07,Harvest,Primary,2500000,Release,Seapen,McLoughlin Bay,McLaughlin Creek H,07,1800000,,,,,,,Preliminary
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,McLoughlin Bay Cr,CO-27,HECATE STRAIT MAINLAND,07,,Primary,90100,Transfer Out,Egg,Central Coast Sch,Central Coast Schools,,100,,,,,,,Preliminary
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,McLoughlin Bay Cr,CO-27,HECATE STRAIT MAINLAND,07,Harvest,Primary,0,Release,Seapen 1+,McLoughlin Bay,McLaughlin Creek H,07,43200,,,,,,,Preliminary
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Chum,Fall,Kitasoo Cr,CM-18,HECATE LOWLANDS,07,Harvest,Primary,1500000,Release,Seapen,Trout Bay,Kitasoo Creek H,07,1080000,,,,,,,Preliminary
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,07,,Primary,80100,Transfer Out,Egg,Central Coast Sch,Central Coast Schools,,100,,,,,,,Preliminary
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,07,Harvest,Alternate,0,Release,Fed Fry,Klemtu Cr,Kitasoo Creek H,07,10000,,,,,,This is a contingency target to allow for surplus fry from Kitasoo Creek to be released if Kitasoo Creek is thought to be fully seeded.,Preliminary
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,07,Harvest,Primary,0,Release,Seapen 1+,Trout Bay,Kitasoo Creek H,07,43200,,,,,,Results of BKD screening can result in egg culls and/or fry releases. Egg and release targets (see Klemtu Cr alternate production line) adjusted to reflect this.,Preliminary
BC North Coast,OPS,Kitimat R,WEM - Kitimat River Hatchery,Chinook,Spring,Kitimat R,CK-42,NORTH & CENTRAL COAST-EARLY TIMING,06,Harvest,Primary,0,Release,Smolt 0+,Kitimat R,Kitimat River H,06,1450000,Coded Wire Tag,AD,150000,,,"2021: The former 2.3M egg target has not been achieved once since this target was established in 2010. As such the target has been revised to align with the hatchery's actual capacity to collect broodstock and achieve targets consistently, which equates to ~1.6M eggs (based on the last 10 years). In light of this, the proposed change represents a relatively small to change in actual production.",Preliminary
BC North Coast,OPS,Kitimat R,WEM - Kitimat River Hatchery,Chinook,Spring,Kitimat R,CK-42,NORTH & CENTRAL COAST-EARLY TIMING,06,Harvest,Primary,1600000,Release,Smolt 0+,Kitimat R,Kitimat River H,06,0,Parentage-based Tagging,N/A,1350000,,,,Preliminary
BC North Coast,OPS,Kitimat R,WEM - Kitimat River Hatchery,Chum,Summer,Kitimat R,CM-20,DOUGLAS-GARDNER,06,Harvest,Primary,2000000,Release,Fed Fry,Kitimat R,Kitimat River H,06,1700000,Thermal,N/A,1700000,,,Thermal marking of Kitimat chum will continue for PNI monitoring.,Preliminary
BC North Coast,OPS,Kitimat R,WEM - Kitimat River Hatchery,Coho,Fall,Kitimat R,CO-29,DOUGLAS CHANNEL-KITIMAT ARM,06,Harvest,Primary,651500,Release,Fed Fry,Kitimat R,Kitimat River H,06,100000,Parentage-based Tagging,N/A,100000,,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,Preliminary
BC North Coast,OPS,Kitimat R,WEM - Kitimat River Hatchery,Coho,Fall,Kitimat R,CO-29,DOUGLAS CHANNEL-KITIMAT ARM,06,Harvest,Primary,0,Release,Smolt 1+,Kitimat R,Kitimat River H,06,500000,Parentage-based Tagging,N/A,500000,,,,Preliminary
BC North Coast,PIP,Kitwanga R,,Sockeye,Fall,Kitwanga R,,,04,Conservation,Primary,50000,Release,Smolt 1+,Kitwanga R,Kitwanga River Inc,04,45000,,,,,,"PW Feb, 2021. NEW production line supported by NC SEP, StAD and FM: 50,000 egg target for 1st pilot year, increasing to 100K after successful pilot; fall fry or smolt 1+ release depending on water volume available; intention is to CWT/Ad clip and PBT, some details tbd as this is at feasibility stage.  Release location might be into Kitwanga Lake.",Final
BC North Coast,PIP,Nisga'a (Nass Valley) Sch,CA - Northern Interior & N Coast,Coho,Fall,Zolzap Cr,CO-35,LOWER NASS,03,Education,Primary,300,Release,Fed Fry,Zolzap Cr,Nisga'a Schools,03,280,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Crabapple Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,3000,Release,Fed Fry,Crabapple Cr,Bear Skin Bay H,02E,2700,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Deena Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,125000,Release,Fed Fry,Blue Paper Cr,Bear Skin Bay H,02E,22500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Deena Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,0,Release,Fed Fry,MacMillan Cr,Bear Skin Bay H,02E,45000,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Deena Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,0,Release,Fed Fry,South Bay Cr,Bear Skin Bay H,02E,45000,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Slatechuck Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,100000,Release,Fed Fry,Branch 10 Cr,Bear Skin Bay H,02E,22500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Slatechuck Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,0,Release,Fed Fry,Crabapple Cr,Bear Skin Bay H,02E,22500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Chum,Fall,Slatechuck Cr,CM-22,SKIDEGATE,02E,Stewardship,Primary,0,Release,Fed Fry,Two Torrent Cr,Bear Skin Bay H,02E,45000,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Chinukundl Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Stewardship,Primary,9000,Release,Fed Fry,Chinukundl Cr,Bear Skin Bay H,02E,8100,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,,Primary,51000,Transfer Out,Egg,Haida Gwaii Sch,Haida Gwaii Schools,,700,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Stewardship,Primary,0,Release,Fed Fry,Balance Rock Cr,Bear Skin Bay H,02E,450,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Stewardship,Primary,0,Release,Fed Fry,Culvert 150 Cr,Bear Skin Bay H,02E,4500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Stewardship,Primary,0,Release,Fed Fry,Honna R,Bear Skin Bay H,02E,38000,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Honna R,CO-23,HG-EAST,02E,Stewardship,Primary,0,Release,Fed Fry,Leander Cr,Bear Skin Bay H,02E,3600,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Jungle Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Stewardship,Primary,35000,Release,Fed Fry,Howard Cr,Bear Skin Bay H,02E,4500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Jungle Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Stewardship,Primary,0,Release,Fed Fry,Jungle Cr,Bear Skin Bay H,02E,13500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Jungle Cr,CO-25,HG-GRAHAM ISLAND LOWLANDS,02E,Stewardship,Primary,0,Release,Fed Fry,Wood Cv Cr,Bear Skin Bay H,02E,13500,,,,,,,Preliminary
BC North Coast,PIP,Northern Trollers,CA - Haida Gwaii,Coho,Fall,Tarundl Cr,CO-23,HG-EAST,02E,Stewardship,Primary,23000,Release,Fed Fry,Tarundl Cr,Bear Skin Bay H,02E,20700,,,,,,,Preliminary
BC South Coast,DPI,Sayward F&G,CA - Campbell River,Chinook,Fall,Salmon R/JNST,CK-29,EAST VANCOUVER ISLAND-NORTH_FA_0.x,13,Rebuilding,Primary,0,Release,Smolt 0+,Salmon R/JNST,Memekay River H,13,120000,Coded Wire Tag,AD,120000,,,,Planning
BC South Coast,DPI,Sayward F&G,CA - Campbell River,Chinook,Fall,Salmon R/JNST,CK-29,EAST VANCOUVER ISLAND-NORTH_FA_0.x,13,Rebuilding,Primary,0,Release,Smolt 0+,Salmon R/JNST,Memekay River H,13,0,Thermal,N/A,120000,,,,Planning
BC North Coast,CDP,Old Massett,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,01,,Primary,40000,Transfer Out,Egg,Haida Gwaii Sch,Haida Gwaii Schools,,100,,,,,,,Preliminary
BC North Coast,CDP,Old Massett,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,01,Harvest,Primary,0,Release,Fed Fry,Mamin R,Yakoun River H,01,36000,,,,,,"Mamin coho will be incubated and reared at Old Masset hatchery, in partnership with Port Clements R&G Club. Fry stocked above an impassable barrier.",Preliminary
BC North Coast,CDP,Old Massett,CA - Haida Gwaii,Coho,Fall,Yakoun R,CO-25,HG-GRAHAM ISLAND LOWLANDS,01,Harvest,Primary,100000,Release,Smolt 1+,Yakoun R,Yakoun River H,01,90000,Parentage-based Tagging,N/A,90000,,,,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Chinook,Fall,Kloiya Cr,CK-45,SKEENA ESTUARY,04,Stewardship,Primary,50000,Release,Smolt 0+,Kloiya Cr,Oldfield Creek H,04,45000,,,,,,,Preliminary
BC South Coast,DPI,Englishman Enh,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Chinook,Fall,L Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14,Rebuilding,Primary,0,Release,Smolt 0+,Englishman R,Englishman River H,14,100000,Parentage-based Tagging,N/A,100000,,,,Planning
BC South Coast,DPI,Oyster R,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Chinook,Fall,Oyster R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14,Rebuilding,Primary,60000,Release,Smolt 0+,Oyster R,Oyster River H,14,55000,Parentage-based Tagging,N/A,55000,,,Assessment ongoing to determine success in rebuilding this stock.,Planning
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Chum,Fall,Toon R,CM-30,PORTLAND INLET,03,Stewardship,Alternate,30000,Release,Fed Fry,Silver Cr/NCST,Oldfield Creek H,04,25000,,,,,,Alternate broodstock source used in the event that Kumealon Cr & Lachmach R stocks are unavailable.,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Diana Cr,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,40000,Release,Fed Fry,Diana Cr,Oldfield Creek H,04,35000,,,,,,,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Hays Cr,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,15000,Release,Fed Fry,Hays Cr,Oldfield Creek H,04,12000,,,,,,,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Oldfield Cr,CO-31,SKEENA ESTUARY,04,Stewardship,Alternate,0,Release,Unfed,Oldfield Cr,Oldfield Creek H,04,10000,,,,,,2021: Alternate release strategy if surplus fry ponded due to excess eggs collected for potential BKD.,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Oldfield Cr,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,20000,Release,Smolt 1+,Oldfield Cr,Oldfield Creek H,04,6000,Fin Clip,AD,6000,In Season,,2021: Egg target reduced from 37200 to 20K. Release target reduced from 15K to 6K.,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Oldfield Cr,CO-31,SKEENA ESTUARY,04,Education,Alternate,0,Release,Fed Fry,Stumaun R,Oldfield Creek H,04,100,,,,,,2021: Alternate release strategy for engagement with school program when teachers are available.,Preliminary
BC North Coast,PIP,Oldfield Cr,CA - Northern Interior & N Coast,Coho,Fall,Silver Cr/NCST,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,20000,Release,Fed Fry,Silver Cr/NCST,Oldfield Creek H,04,18000,,,,,,Released to small lake above a barrier to anadromous fish.,Preliminary
BC North Coast,PIP,Oona R,CA - Northern Interior & N Coast,Coho,Fall,Oona R,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,30000,Release,Fed Fry,Oona R,Oona River H,04,25000,,,,,,,Preliminary
BC North Coast,PIP,Oona R,CA - Northern Interior & N Coast,Coho,Fall,Spiller R,CO-31,SKEENA ESTUARY,04,Stewardship,Primary,20000,Release,Fed Fry,Spiller R,Oona River H,04,18000,,,,,,,Preliminary
BC North Coast,OPS,Pinkut Cr,Ops Mgr - Pinkut Cr Spawning Chan,Sockeye,Summer,Pinkut Ch,SEL-21-02,BABINE,04,Harvest,Primary,73000000,Release,Chan Fry,Pinkut Ch,Pinkut Creek,04,36500000,,,,,,Target based on fully loaded channel.,Preliminary
BC North Coast,OPS,Pinkut Cr,Ops Mgr - Pinkut Cr Spawning Chan,Sockeye,Summer,Pinkut Cr,SEL-21-02,BABINE,04,Harvest,Primary,25000000,Release,Nat Emerg,Pinkut Cr,Pinkut Creek,04,3750000,,,,,,,Preliminary
BC North Coast,PIP,Pr Rupert Sch,CA - Northern Interior & N Coast,Coho,Fall,Oldfield Cr,CO-31,SKEENA ESTUARY,04,Education,Primary,0,Release,Fed Fry,Oldfield Cr,Prince Rupert Schools,04,1100,,,,,,,Preliminary
BC North Coast,PIP,Rivers Inlet,,Chinook,Fall,Wannock R,CK-38,WANNOCK,09,Harvest,Primary,400000,Release,Seapen 0+,Wannock Est,Wannock Estuary Seapen,09,375000,Parentage-based Tagging,N/A,375000,,,,Preliminary
BC South Coast,DPI,Tahsis R,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Chinook,Fall,Leiner R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25,Rebuilding,Primary,320000,Release,Seapen 0+,Tahsis In,Tahsis Inlet Seapen,25,300000,Thermal,N/A,300000,,,,Planning
BC South Coast,DPI,Tahsis R,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Chinook,Fall,Tahsis R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25,Rebuilding,Alternate,160000,Release,Smolt 0+,Tahsis R,Tahsis River H,25,150000,Thermal,N/A,150000,,,,Planning
BC South Coast,DPI,Sooke R,"CA - Lower Van Is, Cowichan R & southern Gulf Islands",Chinook,Fall,Nitinat R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,22,Rebuilding,Primary,0,Release,Smolt 0+,Sooke R,Sooke River H,20,212500,Thermal,N/A,212500,,,2021: Discussion needed about enhancement objectives for Sooke R Chinook and strategies needed to achieve the objectives.,Planning
BC North Coast,PIP,Rivers Inlet,,Chum,Fall,Wannock R,CM-14,WANNOCK,09,Stewardship,Primary,50000,Release,Unfed,Wannock R,Percy Walkus H,09,45000,,,,,,,Preliminary
BC North Coast,PIP,Salmon Unltd Soc,CA - Haida Gwaii,Coho,Fall,Grouse Cr,,,02E,Stewardship,Primary,40000,Release,Fed Fry,Deep Cr/QCI,Loon Creek/ QCI H,02E,18000,,,,,,,Preliminary
BC North Coast,PIP,Salmon Unltd Soc,CA - Haida Gwaii,Coho,Fall,Grouse Cr,,,02E,Stewardship,Primary,0,Release,Fed Fry,Grouse Cr,Loon Creek/ QCI H,02E,18000,,,,,,,Preliminary
BC North Coast,PIP,Salmon Unltd Soc,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,,Primary,50000,Transfer Out,Egg,Haida Gwaii Sch,Haida Gwaii Schools,,400,,,,,,,Preliminary
BC North Coast,PIP,Salmon Unltd Soc,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,Stewardship,Primary,0,Release,Fed Fry,Crush Cr,Loon Creek/ QCI H,02E,4500,,,,,,,Preliminary
BC North Coast,PIP,Salmon Unltd Soc,CA - Haida Gwaii,Coho,Fall,Loon Lk Cr,,,01,Stewardship,Primary,0,Release,Fed Fry,Hannott Cr,Loon Creek/ QCI H,01,4500,,,,,,,Preliminary
